Former code,Subdivision name ,Subdivision name ,Subdivision name ,In entity
BA-05,Bosansko-podrinjski kanton,Bosansko-podrinjska županija,Bosansko-podrinjski kanton,BIH
BA-07,Hercegovačko-neretvanski kanton,Hercegovačko-neretvanska županija,Hercegovačko-neretvanski kanton,BIH
BA-10,Kanton br. 10,Županija br. 10 (Hercegbosanska županija),Kanton br. 10,BIH
BA-09,Kanton Sarajevo,Sarajevska županija,Kanton Sarajevo,BIH
BA-02,Posavski kanton,Posavska županija,Posavski kanton,BIH
BA-06,Srednjobosanski kanton,Srednjobosanska županija,Srednjobosanski kanton,BIH
BA-03,Tuzlanski kanton,Tuzlanska županija,Tuzlanski kanton,BIH
BA-01,Unsko-sanski kanton,Unsko-sanska županija,Unsko-sanski kanton,BIH
BA-08,Zapadnohercegovački kanton,Zapadnohercegovačka županija,Zapadnohercegovački kanton,BIH
BA-04,Zeničko-dobojski kanton,Zeničko-dobojska županija,Zeničko-dobojski kanton,BIH
