Before,After,Subdivision name
DO-DN,DO-01,Distrito Nacional
DO-AZ,DO-02,Azua
DO-BR,DO-03,Bahoruco
DO-BH,DO-04,Barahona
DO-DA,DO-05,Dajabón
DO-DU,DO-06,Duarte
DO-SE,DO-08,El Seybo
DO-EP,DO-09,Espaillat
DO-HM,DO-30,Hato Mayor
DO-IN,DO-10,Independencia
DO-AL,DO-11,La Altagracia
DO-EP,DO-07,La Estrelleta
DO-RO,DO-12,La Romana
DO-VE,DO-13,La Vega
DO-MT,DO-14,María Trinidad Sánchez
DO-MN,DO-28,Monseñor Nouel
DO-MC,DO-15,Monte Cristi
DO-MP,DO-29,Monte Plata
DO-PN,DO-16,Pedernales
DO-PR,DO-17,Peravia
DO-PP,DO-18,Puerto Plata
DO-SC,DO-19,Salcedo
DO-SM,DO-20,Samaná
DO-CR,DO-21,San Cristóbal
DO-JU,DO-22,San Juan
DO-PM,DO-23,San Pedro de Macorís
DO-SZ,DO-24,Sánchez Ramírez
DO-ST,DO-25,Santiago
DO-SR,DO-26,Santiago Rodríguez
DO-VA,DO-27,Valverde
