Code,Subdivision name (es,Subdivision name (en,Subdivision category
ES-AN,Andalucía,Andalusia,autonomous community
ES-AR,Aragón,Aragon,autonomous community
ES-AS,Asturias Principado de,Principality of Asturias,autonomous community
ES-CN,Canarias,Canary Islands,autonomous community
ES-CB,Cantabria,Cantabria,autonomous community
ES-CL,Castilla y León,Castile and León,autonomous community
ES-CM,Castilla-La Mancha,Castile-La Mancha,autonomous community
ES-CT,Catalunya,Catalonia,autonomous community
ES-CE,Ceuta,Ceuta,autonomous city in North Africa
ES-EX,Extremadura,Extremadura,autonomous community
ES-GA,Galicia,Galicia,autonomous community
ES-IB,Illes Balears,Balearic Islands,autonomous community
ES-RI,La Rioja,La Rioja,autonomous community
ES-MD,Madrid Comunidad de,Community of Madrid,autonomous community
ES-ML,Melilla,Melilla,autonomous city in North Africa
ES-MC,Murcia Región de,Region of Murcia,autonomous community
ES-NC,Navarra Comunidad Foral de,Chartered Community of Navarre,autonomous community
ES-PV,País Vasco,Basque Country,autonomous community
ES-VC,Valenciana Comunidad,Valencian Community,autonomous community
