Code,Subdivision name (fr,Alpha-2 code,ISO 3166-1 English name,ISO 3166-1 French name,ISO 3166-2 code
FR-BL,Saint-Barthélemy,BL,Saint Barthélemy,Saint-Barthélemy,ISO 3166-2:BL
FR-GF,Guyane (française),GF,French Guiana,Guyane française,ISO 3166-2:GF
FR-GP,Guadeloupe,GP,Guadeloupe,Guadeloupe,ISO 3166-2:GP
FR-MF,Saint-Martin,MF,Saint Martin (French part),Saint-Martin (partie française),ISO 3166-2:MF
FR-MQ,Martinique,MQ,Martinique,Martinique,ISO 3166-2:MQ
FR-NC,Nouvelle-Calédonie,NC,New Caledonia,Nouvelle-Calédonie,ISO 3166-2:NC
FR-PF,Polynésie française,PF,French Polynesia,Polynésie française,ISO 3166-2:PF
FR-PM,Saint-Pierre-et-Miquelon,PM,Saint Pierre and Miquelon,Saint-Pierre-et-Miquelon,ISO 3166-2:PM
FR-RE,La Réunion,RE,Réunion,Réunion,ISO 3166-2:RE
FR-TF,Terres australes françaises,TF,French Southern Territories,Terres australes françaises,ISO 3166-2:TF
FR-WF,Wallis-et-Futuna,WF,Wallis and Futuna,Wallis-et-Futuna,ISO 3166-2:WF
FR-YT,Mayotte,YT,Mayotte,Mayotte,ISO 3166-2:YT
