Code,Subdivision name ,Local variant,Subdivision name ,Subdivision category
GE-AB,Abkhazia,Apkhazeti,აფხაზეთი,autonomous republic
GE-AJ,Ajaria,Ach'ara,აჭარა,autonomous republic
GE-TB,Tbilisi,,თბილისი,city
GE-GU,Guria,,გურია,region
GE-IM,Imereti,,იმერეთი,region
GE-KA,K'akheti,,კახეთი,region
GE-KK,Kvemo Kartli,,ქვემო ქართლი,region
GE-MM,Mtskheta-Mtianeti,,მცხეთა-მთიანეთი,region
GE-RL,Rach'a-Lechkhumi-Kvemo Svaneti,,რაჭა-ლეჩხუმი და ქვემო სვანეთი,region
GE-SZ,Samegrelo-Zemo Svaneti,,სამეგრელო-ზემო სვანეთი,region
GE-SJ,Samtskhe-Javakheti,,სამცხე-ჯავახეთი,region
GE-SK,Shida Kartli,,შიდა ქართლი,region
