Code,Subdivision name ,Subdivision name ,Subdivision name 
GR-A,Anatolikí Makedonía kai Thráki,Eastern Macedonia and Thrace ,Ανατολική Μακεδονία και Θράκη
GR-I,Attikí,Attica ,Αττική
GR-G,Dytikí Elláda,Western Greece ,Δυτική Ελλάδα
GR-C,Dytikí Makedonía,Western Macedonia ,Δυτική Μακεδονία
GR-F,Ionía Nísia,Ionian Islands ,Ιόνια Νησιά
GR-D,Ípeiros,Epirus ,Ήπειρος
GR-B,Kentrikí Makedonía,Central Macedonia ,Κεντρική Μακεδονία
GR-M,Kríti,Crete ,Κρήτη
GR-L,Notío Aigaío,Southern Aegean ,Νότιο Αιγαίο
GR-J,Peloponnísos,Peloponnese ,Πελοπόννησος
GR-H,Stereá Elláda,Central Greece ,Στερεά Ελλάδα
GR-E,Thessalía,Thessaly ,Θεσσαλία
GR-K,Voreío Aigaío,Northern Aegean ,Βόρειο Αιγαίο
