Code,Subdivision name (en,Subdivision name (mh,In chain (of islands
MH-ALL,Ailinglaplap,Aelōn̄ḷapḷap,L
MH-ALK,Ailuk,Aelok,T
MH-ARN,Arno,Arṇo,T
MH-AUR,Aur,Aur,T
MH-KIL,Bikini & Kili,Pikinni & Kōle,L
MH-EBO,Ebon,Epoon,L
MH-ENI,Enewetak & Ujelang,Ānewetak & Wūjlan̄,L
MH-JAB,Jabat,Jebat,L
MH-JAL,Jaluit,Jālwōj,L
MH-KWA,Kwajalein,Kuwajleen,L
MH-LAE,Lae,Lae,L
MH-LIB,Lib,Ellep,L
MH-LIK,Likiep,Likiep,T
MH-MAJ,Majuro,Mājro,T
MH-MAL,Maloelap,Ṃaḷoeḷap,T
MH-MEJ,Mejit,Mājej,T
MH-MIL,Mili,Mile,T
MH-NMK,Namdrik,Naṃdik,L
MH-NMU,Namu,Naṃo,L
MH-RON,Rongelap,Ron̄ḷap,L
MH-UJA,Ujae,Ujae,L
MH-UTI,Utrik,Utrōk,T
MH-WTH,Wotho,Wōtto,L
MH-WTJ,Wotje,Wōjjā,T
