Code,Subdivision name ,Subdivision name ,Official name
MT-01,Attard,Attard,Ħ'Attard
MT-02,Balzan,Balzan,Ħal Balzan
MT-03,Birgu,Birgu,Il-Birgu (Citta' Vittoriosa)
MT-04,Birkirkara,Birkirkara,Birkirkara
MT-05,Birżebbuġa,Birżebbuġa,Birżebbuġa
MT-06,Bormla,Bormla,Bormla (Citta' Cospicua)
MT-07,Dingli,Dingli,Ħad-Dingli
MT-08,Fgura,Fgura,Il-Fgura
MT-09,Floriana,Floriana,Il-Furjana
MT-10,Fontana,Fontana,Il-Fontana
MT-11,Gudja,Gudja,Il-Gudja
MT-12,Gżira,Gżira,Il-Gżira
MT-13,Għajnsielem,Għajnsielem,Għajnsielem
MT-14,Għarb,Għarb,L-Għarb
MT-15,Għargħur,Għargħur,Ħal Għargħur
MT-16,Għasri,Għasri,L-Għasri
MT-17,Għaxaq,Għaxaq,Ħal Għaxaq
MT-18,Ħamrun,Ħamrun,Il-Ħamrun
MT-19,Iklin,Iklin,L-Iklin
MT-20,Isla,Isla,L-Isla (Citta' Invicta)
MT-21,Kalkara,Kalkara,Il-Kalkara
MT-22,Kerċem,Kerċem,Ta' Kerċem
MT-23,Kirkop,Kirkop,Ħal Kirkop
MT-24,Lija,Lija,Ħal Lija
MT-25,Luqa,Luqa,Ħal Luqa
MT-26,Marsa,Marsa,Il-Marsa
MT-27,Marsaskala,Marsaskala,Marsaskala or Wied il-Għajn
MT-28,Marsaxlokk,Marsaxlokk,Marsaxlokk
MT-29,Mdina,Mdina,L-Imdina (Citta' Notabile)
MT-30,Mellieħa,Mellieħa,Il-Mellieħa
MT-31,Mġarr,Mġarr,L-Imġarr
MT-32,Mosta,Mosta,Il-Mosta
MT-33,Mqabba,Mqabba,L-Imqabba
MT-34,Msida,Msida,L-Imsida
MT-35,Mtarfa,Mtarfa,L-Imtarfa
MT-36,Munxar,Munxar,Il-Munxar
MT-37,Nadur,Nadur,In-Nadur
MT-38,Naxxar,Naxxar,In-Naxxar
MT-39,Paola,Paola,Paola or Raħal Ġdid
MT-40,Pembroke,Pembroke,Pembroke
MT-41,Pietà,Pietà,Tal-Pietà
MT-42,Qala,Qala,Il-Qala
MT-43,Qormi,Qormi,Ħal Qormi (Citta' Pinto)
MT-44,Qrendi,Qrendi,Il-Qrendi
MT-45,Rabat Gozo,Rabat Għawdex,Ir-Rabat Għawdex (Citta' Vittoria)
MT-46,Rabat Malta,Rabat Malta,Ir-Rabat Malta
MT-47,Safi,Safi,Ħal Safi
MT-48,Saint Julian's,San Ġiljan,San Ġiljan
MT-49,Saint John,San Ġwann,San Ġwann
MT-50,Saint Lawrence,San Lawrenz,San Lawrenz
MT-51,Saint Paul's Bay,San Pawl il-Baħar,San Pawl il-Baħar
MT-52,Sannat,Sannat,Ta' Sannat
MT-53,Saint Lucia's,Santa Luċija,Santa Luċija
MT-54,Santa Venera,Santa Venera,Santa Venera
MT-55,Siġġiewi,Siġġiewi,Is-Siġġiewi (Citta' Ferdinand)
MT-56,Sliema,Sliema,Tas-Sliema
MT-57,Swieqi,Swieqi,Is-Swieqi
MT-58,Ta' Xbiex,Ta' Xbiex,Ta' Xbiex
MT-59,Tarxien,Tarxien,Ħal Tarxien
MT-60,Valletta,Valletta,Il-Belt Valletta (Citta' Umilissima)
MT-61,Xagħra,Xagħra,Ix-Xagħra
MT-62,Xewkija,Xewkija,Ix-Xewkija
MT-63,Xgħajra,Xgħajra,Ix-Xgħajra
MT-64,Żabbar,Żabbar,Ħaż-Żabbar (Citta' Hompesch)
MT-65,Żebbuġ Gozo,Żebbuġ Għawdex,Iż-Żebbuġ Għawdex
MT-66,Żebbuġ Malta,Żebbuġ Malta,Ħaż-Żebbuġ (Citta' Rohan)
MT-67,Żejtun,Żejtun,Iż-Żejtun (Citta' Beland)
MT-68,Żurrieq,Żurrieq,Iż-Żurrieq
